jurisdiction,prisoner_count_per_capita,violent_crime_total_per_capita,murder_manslaughter_per_capita,rape_revised_per_capita,robbery_per_capita,agg_assault_per_capita,property_crime_total_per_capita,burglary_per_capita,larceny_per_capita,vehicle_theft_per_capita
NEW YORK,0.0025514352838026232,0.003746417046013553,3.170956498610677e-05,0.00031664193589465284,0.0011247065100795583,0.0022733590350532355,0.015387154631668449,0.002008944617959229,0.012653074270052368,0.0007251357436568519
NORTH CAROLINA,0.003541508458120555,0.0037184361951025577,6.675403765931988e-05,0.0002803078837995335,0.0009191971911318737,0.0024521770825118305,0.02734798712454423,0.007096997850382147,0.018744002105410534,0.0015069871687515488
NORTH DAKOTA,0.0021692863987463405,0.0025213487428991936,2.1176682355058845e-05,0.0004711811824000593,0.00023956121914160317,0.0017894296590024723,0.023097142736133242,0.004298866518076945,0.016212073885444735,0.0025862023326115612
OHIO,0.004488858472931165,0.0030766903728732943,5.876505284466736e-05,0.0004950719093238887,0.0010818620416820606,0.0014409913690226778,0.02589319008541496,0.005771623001278377,0.01842125233403949,0.0017003147500970956
OKLAHOMA,0.006724205072570767,0.004553444895921077,6.299080869742403e-05,0.0005355493856866011,0.0008094446429377485,0.003145460058599304,0.030095325240417047,0.007491570835204568,0.019473085710598803,0.003130668694613674
OREGON,0.0035680468058039315,0.002687966120319952,2.8389699531741274e-05,0.00043661399969505544,0.0005646123863769579,0.0016583500347161972,0.029788626450046735,0.004140735572220092,0.02239531237112973,0.00325257850669691
PENNSYLVANIA,0.0037762320341188003,0.003158577580425875,5.2709432994306364e-05,0.00034871121917153127,0.0009630029048841077,0.0017941540233759297,0.017392079586551586,0.0027510570235514975,0.013618975708693576,0.001022046854306513
RHODE ISLAND,0.0027298532668410293,0.002391340114943181,2.742145643865253e-05,0.00042077752121380606,0.00051155199770038,0.0014315891395903424,0.017880680732928252,0.0034513212414166113,0.013386398579379443,0.0010429609121321978
SOUTH CAROLINA,0.004108211947928777,0.00506812542869482,7.218000968583147e-05,0.0005022357657190117,0.0008207955850028489,0.003672914068287128,0.03256850749885782,0.006683505980658177,0.02307643298489341,0.0028085685333062355
SOUTH DAKOTA,0.00437587488479958,0.00422033980931864,3.249986651840537e-05,0.0006105332067386152,0.00031803440807296683,0.003259272327988653,0.019972328685078616,0.0034844499745804616,0.014746814432726437,0.0017410642777717163
TENNESSEE,0.0032392376820539106,0.006385384314143042,7.444276208815105e-05,0.0004215415396628029,0.0011773987563396659,0.004712001256052422,0.028754306400994734,0.006106863111340505,0.0203556589432677,0.0022917843463865334
TEXAS,0.005421134137843076,0.00433845542758821,5.2965680317645004e-05,0.00048185151390463786,0.0011932687572509765,0.002610369476114951,0.027589887382349354,0.005332260736498178,0.019785297630212254,0.0024723290156389234
UTAH,0.0014788190864235408,0.0024327263780659137,2.430755495231942e-05,0.0005124295368326796,0.0005019181617181631,0.0013940711245627514,0.029747520054554038,0.004249880350987954,0.022422405521625347,0.003075234181940735
VERMONT,0.0027833301783577228,0.0013651953785489466,2.2459148413261166e-05,0.000272718230732457,0.00012512954115959793,0.0009448884582436304,0.015569002525049972,0.0030223596864702882,0.012251465459433966,0.00029517737914571817
VIRGINIA,0.0035513014624963457,0.002198022908402045,5.728288952959101e-05,0.00033632899869033724,0.0005735419603108013,0.0012308690598713155,0.018693237053710433,0.0023957796058651976,0.015127080070070522,0.0011703773777747143
WASHINGTON,0.002366179943397372,0.0030354622085573086,2.678227820771346e-05,0.00043030193653726296,0.0007758619979249915,0.0018025159958873409,0.03502215512460352,0.006764104715136822,0.023818784787775854,0.004439265621690843
WEST VIRGINIA,0.003225899946244115,0.003627291802583017,4.6482708159137104e-05,0.00037404908683352686,0.00039373588087739667,0.002813024126712956,0.02038786265398764,0.00499114914551111,0.014030668743988008,0.0013660447644885233
WISCONSIN,0.0040123563183049405,0.003068812525799349,4.0187655564769075e-05,0.00034731141985931897,0.0008153590290662416,0.0018659544213090193,0.019385520353055484,0.0033774952939735667,0.014283073877556183,0.0017249511815257347
WYOMING,0.004021131456121455,0.002446530235420834,3.419329469491033e-05,0.0003521909353575764,0.00010087021934998547,0.001959275786018362,0.019592757860183618,0.0030278162452343094,0.015197209827152895,0.001367731787796413
